Folder,FrameCount,File Path,Label
0000_fake,32,fake/frames/0000_fake,0
0001_fake,32,fake/frames/0001_fake,0
0002_fake,32,fake/frames/0002_fake,0
0003_fake,32,fake/frames/0003_fake,0
0004_fake,32,fake/frames/0004_fake,0
0005_fake,1,fake/frames/0005_fake,0
0006_fake,32,fake/frames/0006_fake,0
0007_fake,32,fake/frames/0007_fake,0
0008_fake,32,fake/frames/0008_fake,0
0009_fake,32,fake/frames/0009_fake,0
0010_fake,32,fake/frames/0010_fake,0
0011_fake,32,fake/frames/0011_fake,0
0012_fake,32,fake/frames/0012_fake,0
0013_fake,32,fake/frames/0013_fake,0
0014_fake,32,fake/frames/0014_fake,0
0015_fake,32,fake/frames/0015_fake,0
0016_fake,32,fake/frames/0016_fake,0
0017_fake,32,fake/frames/0017_fake,0
0018_fake,32,fake/frames/0018_fake,0
0019_fake,32,fake/frames/0019_fake,0
0020_fake,32,fake/frames/0020_fake,0
0021_fake,32,fake/frames/0021_fake,0
0022_fake,32,fake/frames/0022_fake,0
0023_fake,32,fake/frames/0023_fake,0
0024_fake,32,fake/frames/0024_fake,0
0025_fake,32,fake/frames/0025_fake,0
0026_fake,32,fake/frames/0026_fake,0
0027_fake,32,fake/frames/0027_fake,0
0028_fake,29,fake/frames/0028_fake,0
0029_fake,32,fake/frames/0029_fake,0
0030_fake,32,fake/frames/0030_fake,0
0031_fake,32,fake/frames/0031_fake,0
0032_fake,32,fake/frames/0032_fake,0
0033_fake,26,fake/frames/0033_fake,0
0034_fake,32,fake/frames/0034_fake,0
0035_fake,32,fake/frames/0035_fake,0
0036_fake,28,fake/frames/0036_fake,0
0037_fake,32,fake/frames/0037_fake,0
0038_fake,32,fake/frames/0038_fake,0
0039_fake,32,fake/frames/0039_fake,0
0040_fake,32,fake/frames/0040_fake,0
0041_fake,32,fake/frames/0041_fake,0
0042_fake,32,fake/frames/0042_fake,0
0043_fake,32,fake/frames/0043_fake,0
0044_fake,32,fake/frames/0044_fake,0
0045_fake,32,fake/frames/0045_fake,0
0046_fake,32,fake/frames/0046_fake,0
0047_fake,32,fake/frames/0047_fake,0
0048_fake,32,fake/frames/0048_fake,0
